ZONAS,ESPACIO,OBJETO,Tipo,Variante,L,A,H,m3
ZONAS DE SERVICIO,GYM,EQUIPOS,Elíptica,,1.80,0.70,1.60,2.02
ZONAS DE SERVICIO,GYM,EQUIPOS,Remadora,,2.10,0.50,0.80,0.84
ZONAS DE SERVICIO,GYM,EQUIPOS,Máquina multifuncional,,2.00,1.50,2.10,6.30
ZONAS DE SERVICIO,GYM,EQUIPOS,Banco pesas,,1.20,0.50,0.50,0.30
ZONAS DE SERVICIO,GYM,EQUIPOS,Rack pesas,,1.20,0.60,1.80,1.30
ZONAS DE SERVICIO,GYM,EQUIPOS,Prensa piernas,,2.00,1.00,1.50,3.00
ZONAS DE SERVICIO,GYM,EQUIPOS,Máquina abdominales,,1.50,0.80,1.40,1.68
ZONAS DE SERVICIO,GYM,EQUIPOS,Escaladora,,1.40,0.80,2.00,2.24
ZONAS DE SERVICIO,GYM,EQUIPOS,Stepper,,0.90,0.60,1.20,0.65

ZONA EXTERIOR,PISCINAS,EQUIPOS,Bomba de piscina,,0.60,0.40,0.40,0.10
ZONA EXTERIOR,PISCINAS,EQUIPOS,Filtro arena,,0.60,0.60,1.00,0.36
ZONA EXTERIOR,PISCINAS,EQUIPOS,Calentador piscina,,0.80,0.50,0.90,0.36
ZONA EXTERIOR,PISCINAS,EQUIPOS,Clorador salino,,0.50,0.40,0.40,0.08
ZONA EXTERIOR,PISCINAS,EQUIPOS,Robot limpiafondos,,0.50,0.40,0.30,0.06
ZONA EXTERIOR,PISCINAS,EQUIPOS,Aspiradora piscina,,1.20,0.30,0.30,0.11
ZONA EXTERIOR,PISCINAS,EQUIPOS,Enrollador lona,,1.80,0.30,0.30,0.16
ZONA EXTERIOR,PISCINAS,EQUIPOS,Tablero control,,0.60,0.40,0.20,0.05
ZONA EXTERIOR,PISCINAS,MOBILIARIO,Camastro,,2.00,0.70,0.40,0.56
ZONA EXTERIOR,PISCINAS,MOBILIARIO,Silla piscina,,0.80,0.80,0.90,0.58
ZONA EXTERIOR,PISCINAS,MOBILIARIO,Mesa auxiliar,,0.60,0.60,0.45,0.16
ZONA EXTERIOR,PISCINAS,MOBILIARIO,Sofá exterior,,1.80,0.80,0.80,1.15
ZONA EXTERIOR,PISCINAS,MOBILIARIO,Banco piscina,,1.50,0.45,0.45,0.30
ZONA EXTERIOR,PISCINAS,MOBILIARIO,Bar exterior,,1.50,0.60,1.10,0.99
ZONA EXTERIOR,PISCINAS,MOBILIARIO,Sombrilla,,2.50,0.30,0.30,0.23
ZONA EXTERIOR,PISCINAS,INFLABLES,Flotador individual,,0.60,0.40,0.20,0.05
ZONA EXTERIOR,PISCINAS,INFLABLES,Flotador doble,,0.80,0.50,0.25,0.10
ZONA EXTERIOR,PISCINAS,INFLABLES,Colchoneta,,1.20,0.40,0.25,0.12
ZONA EXTERIOR,PISCINAS,INFLABLES,Donut gigante,,0.90,0.50,0.30,0.14
ZONA EXTERIOR,PISCINAS,INFLABLES,Isla inflable,,1.20,0.60,0.40,0.29
ZONA EXTERIOR,PISCINAS,INFLABLES,Tobogán inflable,,1.50,0.70,0.50,0.53
ZONA EXTERIOR,PISCINAS,INFLABLES,Pelotas inflables,,0.60,0.40,0.30,0.07

ZONA BBQ,ZONA BBQ,EQUIPOS Y ELECTRODOMESTICOS,Parrilla a gas,,1.40,0.60,1.10,0.92
ZONA BBQ,ZONA BBQ,EQUIPOS Y ELECTRODOMESTICOS,Parrilla carbón,,1.20,0.60,1.00,0.72
ZONA BBQ,ZONA BBQ,EQUIPOS Y ELECTRODOMESTICOS,Parrilla portátil,,0.60,0.40,0.40,0.10
ZONA BBQ,ZONA BBQ,EQUIPOS Y ELECTRODOMESTICOS,Horno ahumador,,0.80,0.70,1.20,0.67
ZONA BBQ,ZONA BBQ,EQUIPOS Y ELECTRODOMESTICOS,Plancha BBQ,,0.90,0.50,0.30,0.14
ZONA BBQ,ZONA BBQ,EQUIPOS Y ELECTRODOMESTICOS,Nevera portátil,,0.60,0.40,0.40,0.10
ZONA BBQ,ZONA BBQ,EQUIPOS Y ELECTRODOMESTICOS,Enfriador bebidas,,0.50,0.50,0.80,0.20
ZONA BBQ,ZONA BBQ,EQUIPOS Y ELECTRODOMESTICOS,Campana extractora exterior,,0.80,0.60,0.60,0.29
ZONA BBQ,ZONA BBQ,MOBILIARIO,Mesa exterior BBQ,,1.80,0.90,0.75,1.22
ZONA BBQ,ZONA BBQ,MOBILIARIO,Mesa bar,,1.40,0.60,1.10,0.92
ZONA BBQ,ZONA BBQ,MOBILIARIO,Silla exterior,,0.55,0.55,0.90,0.27
ZONA BBQ,ZONA BBQ,MOBILIARIO,Banco alto,,0.45,0.45,0.75,0.15
ZONA BBQ,ZONA BBQ,MOBILIARIO,Sofá exterior,,1.80,0.80,0.80,1.15
ZONA BBQ,ZONA BBQ,MOBILIARIO,Mueble parrilla,,1.50,0.60,0.90,0.81
ZONA BBQ,ZONA BBQ,MOBILIARIO,Carrito BBQ,,0.70,0.45,0.90,0.28
ZONA BBQ,ZONA BBQ,MOBILIARIO,Estantería exterior,,0.80,0.40,1.60,0.51
